Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1nF 1kV","C_0805_2012Metric-minimized",292.750000,-138.250000,0.000000,top
"J1","Load Cell","DB125-2.54-4P-GN-S",278.710000,-146.250000,0.000000,top
"J2","Sheild","KF128-2.54-2P",290.460000,-146.250000,0.000000,top
"J3","RJ45","RJ45-SMD_8P-P1.27_RC02015",256.500000,-139.270000,0.000000,top
"J4","AMP RIGHT","Pin_Header_1x5_2.54mm_Vertical",280.920000,-106.000000,0.000000,top
"J5","AMP LEFT","Pin_Header_1x5_2.54mm_Vertical",280.920000,-133.940000,0.000000,top
"J6","NANO UR","PinHeader_1x02_P2.54mm_Vertical",250.010000,-91.960000,0.000000,top
"J7","NANO LR","PinHeader_1x06_P2.54mm_Vertical",265.250000,-114.820000,0.000000,top
"J8","NANO UL","PinHeader_1x02_P2.54mm_Vertical",265.250000,-91.960000,0.000000,top
"J9","NANO LL","PinHeader_1x06_P2.54mm_Vertical",250.010000,-114.820000,0.000000,top
